group,names,scores,logfoldchanges,pvals,pvals_adj
Aggressive,POU2F1::SOX2,62.314415,104.14874,0,0
Aggressive,Pou5f1::Sox2,57.886658,116.179,0,0
Aggressive,SOX21,52.030193,37.984047,0,0
Aggressive,TCF7L1,47.691593,83.84668,0,0
Aggressive,POU5F1B,47.68299,63.3219,0,0
Aggressive,ATF3,37.803192,1.0029076,0,0
Aggressive,ELK1::HOXA1,33.20534,10.945619,9.01E-242,3.35E-241
Aggressive,Rarb,31.798166,85.954094,6.86E-222,2.23E-221
Aggressive,HOXB2::ELK1,31.31783,14.179875,2.67E-215,7.71E-215
Aggressive,TP63,30.232922,7.70119,8.75E-201,2.27E-200
Aggressive,BHLHE41,24.99955,16.87015,6.18E-138,1.46E-137
Aggressive,RARA,22.232922,34.76142,1.65E-109,3.58E-109
Aggressive,Rarg,16.529484,9.508384,2.25E-61,4.18E-61
Aggressive,RARA::RXRA,16.024204,25.44763,8.66E-58,1.50E-57
Aggressive,RELA,15.6266985,25.638195,4.79E-55,7.78E-55
Aggressive,TP53,13.907289,17.876312,5.72E-44,8.75E-44
Aggressive,E2F1,13.158219,0.8566379,1.53E-39,2.20E-39
Aggressive,NR1D2,10.893017,18.583286,1.24E-27,1.70E-27
Aggressive,REL,10.36341,18.207512,3.64E-25,4.73E-25
Aggressive,FOSB::JUN,10.294142,4.9591975,7.49E-25,9.27E-25
Aggressive,FOSL1::JUN,9.621993,0.66142964,6.46E-22,7.30E-22
Aggressive,ESR2,8.173805,23.295635,2.99E-16,3.24E-16
Aggressive,FOSB::JUNB,7.329448,0.5206344,2.31E-13,2.40E-13
Aggressive,NFKB1,3.176604,7.3280497,0.001490104,0.001490104
Aggressive,EGR2,-9.856511,-15.18924,6.42E-23,7.59E-23
Aggressive,EPAS1,-17.008041,-4.2864256,7.16E-65,1.43E-64
less-Aggressive,EPAS1,17.008041,4.2864256,7.16E-65,1.43E-64
less-Aggressive,EGR2,9.856511,15.18924,6.42E-23,7.59E-23
less-Aggressive,NFKB1,-3.176604,-7.3280497,0.001490104,0.001490104
less-Aggressive,FOSB::JUNB,-7.329448,-0.5206344,2.31E-13,2.40E-13
less-Aggressive,ESR2,-8.173805,-23.295635,2.99E-16,3.24E-16
less-Aggressive,FOSL1::JUN,-9.621993,-0.66142964,6.46E-22,7.30E-22
less-Aggressive,FOSB::JUN,-10.294142,-4.9591975,7.49E-25,9.27E-25
less-Aggressive,REL,-10.36341,-18.207512,3.64E-25,4.73E-25
less-Aggressive,NR1D2,-10.893017,-18.583286,1.24E-27,1.70E-27
less-Aggressive,E2F1,-13.158219,-0.8566379,1.53E-39,2.20E-39
less-Aggressive,TP53,-13.907289,-17.876312,5.72E-44,8.75E-44
less-Aggressive,RELA,-15.6266985,-25.638195,4.79E-55,7.78E-55
less-Aggressive,RARA::RXRA,-16.024204,-25.44763,8.66E-58,1.50E-57
less-Aggressive,Rarg,-16.529484,-9.508384,2.25E-61,4.18E-61
less-Aggressive,RARA,-22.232922,-34.76142,1.65E-109,3.58E-109
less-Aggressive,BHLHE41,-24.99955,-16.87015,6.18E-138,1.46E-137
less-Aggressive,TP63,-30.232922,-7.70119,8.75E-201,2.27E-200
less-Aggressive,HOXB2::ELK1,-31.31783,-14.179875,2.67E-215,7.71E-215
less-Aggressive,Rarb,-31.798166,-85.954094,6.86E-222,2.23E-221
less-Aggressive,ELK1::HOXA1,-33.20534,-10.945619,9.01E-242,3.35E-241
less-Aggressive,ATF3,-37.803192,-1.0029076,0,0
less-Aggressive,POU5F1B,-47.68299,-63.3219,0,0
less-Aggressive,TCF7L1,-47.691593,-83.84668,0,0
less-Aggressive,SOX21,-52.030193,-37.984047,0,0
less-Aggressive,Pou5f1::Sox2,-57.886658,-116.179,0,0
less-Aggressive,POU2F1::SOX2,-62.314415,-104.14874,0,0
